   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
1,412291,3103,6644, ,N,NAGLE,AVE, ,91401,1/2/18,1/3/18,1/30/18,Y,1,180B157   333,GARCV,South Valley,800570,1,34.19150,-118.42348
2,412375,1123,7501, ,S,DENKER,AVE, ,90047,1/3/18,1/11/18,1/31/18,Y,1,102B193  1902,GARCV,South Los Angeles,801443,6,33.97182,-118.30479
3,412420,1112,4323, ,S,HOBART,BLVD, ,90062,1/3/18,1/10/18,1/31/18,Y,1,111B193    15,GARCV,South Los Angeles,801417,5,34.00438,-118.30800
4,412409,2122,4545, ,W,STANTON,DR, ,90065,1/3/18,1/4/18,1/31/18,N,1,160-5A219  87,GARCV,East Los Angeles,,1,34.13524,-118.22685
5,412432,1123,1953, ,W,73RD,ST, ,90047,1/4/18,1/16/18,2/1/18,Y,1,102B193  1455,GARCV,South Los Angeles,801609,8,33.97377,-118.31294
6,412441,3121,10210, ,N,AMBOY,AVE, ,91331,1/4/18,1/4/18,2/1/18,Y,1,204B157   642,GARCV,North Valley,800585,0,34.25583,-118.42592
7,412490,3104,11031, ,W,HATTERAS,ST, ,91601,1/4/18,1/5/18,2/1/18,N,1,174B173   255,GARCV,South Valley,,1,34.17590,-118.37144
8,412475,3132,17509, ,W,LEMARSH,ST, ,91325,1/4/18,1/8/18,2/1/18,Y,1,204B129   238,GARCV,North Valley,801448,2,34.25592,-118.51602
9,412532,3123,14868, ,W,AZTEC,ST, ,91342,1/5/18,1/9/18,2/2/18,Y,1,216B149   524,GARCV,North Valley,801010,2,34.28697,-118.45551
10,412551,3102,13681, ,W,RAYEN,ST, ,91331,1/5/18,1/8/18,2/2/18,Y,1,198B157   745,GARCV,North Valley,800890,1,34.23715,-118.43140
11,412591,3121,13629, ,W,LOUVRE,ST, ,91331,1/6/18,1/9/18,2/2/18,N,1,207B157   161,GARCV,North Valley,,1,34.26679,-118.43038
12,412634,1122,855, ,E,33RD,ST, ,90011,1/8/18,1/9/18,2/5/18,N,1,117A207   177,GARCV,South Los Angeles,,1,34.01476,-118.26110
13,412659,2113,15460, ,W,MORRISON,ST, ,91403,1/8/18,1/10/18,2/5/18,Y,1,168B145   132,GARCV,South Valley,801051,2,34.16016,-118.47146
14,412731,2121,3539, ,E,2ND,ST, ,90063,1/9/18,1/10/18,2/6/18,Y,1,124-5A229 160,GARCV,East Los Angeles,801915,1,34.03412,-118.19285
15,412724,2131,2516, ,W,AVENUE 34, , ,90065,1/9/18,1/16/18,2/6/18,Y,1,153A217   381,GARCV,East Los Angeles,801636,5,34.11206,-118.23384
16,412689,2142,3855, ,W,GLENFELIZ,BLVD, ,90039,1/9/18,1/18/18,2/6/18,Y,1,156A207   339,GARCV,East Los Angeles,802217,7,34.12080,-118.26633
17,412738,3111,19947, ,W,VANOWEN,ST, ,91306,1/9/18,1/16/18,2/6/18,Y,1,183B113   881,GARCV,South Valley,801565,5,34.19394,-118.56829
18,412799,1131,1617, ,S,OGDEN,DR, ,90019,1/10/18,1/16/18,2/7/18,N,1,129B177  1355,GARCV,Central,,4,34.04670,-118.36584
19,412757,2142,238, ,N,ROSEMONT,AVE, ,90026,1/10/18,1/16/18,2/7/18,N,1,136-5A205  34,GARCV,Central,,4,34.07025,-118.27109
20,412809,3131,22901, ,W,SATICOY,ST, ,91304,1/10/18,1/11/18,2/7/18,N,1,186B097   225,GARCV,South Valley,,1,34.20841,-118.62567
21,412784,1121,9003, ,S,WADSWORTH,AVE, ,90002,1/10/18,1/12/18,2/7/18,Y,1,094-5A209  27,GARCV,South Los Angeles,801479,2,33.95440,-118.25873
22,412833,1132,5462, ,W,HOMESIDE,AVE, ,90016,1/11/18,1/18/18,2/8/18,Y,1,120B177   400,GARCV,South Los Angeles,802214,5,34.02764,-118.36384
23,412919,3111,23236, ,W,CANZONET,ST, ,91367,1/12/18,1/16/18,2/9/18,Y,1,171B093   292,GARCV,South Valley,801567,2,34.16636,-118.63323
24,412962,2131,5216, ,E,GRANADA,ST, ,90042,1/12/18,1/24/18,2/9/18,N,1,151-5A225  93,GARCV,East Los Angeles,,8,34.11090,-118.20199
25,412925,2101,2808, ,N,WOODSTOCK,ROAD, ,90046,1/12/18,1/16/18,2/9/18,Y,1,156B173   450,GARCV,South Valley,801595,2,34.12211,-118.37103
26,412971,1141,200, ,E,118TH,PL, ,90061,1/13/18,1/19/18,2/9/18,Y,1,084B205   923,GARCV,South Los Angeles,802472,4,33.92543,-118.27175
27,412990,1131,1617, ,S,OGDEN,DR, ,90019,1/15/18,1/19/18,2/12/18,Y,1,129B177  1355,GARCV,Central,802439,4,34.04670,-118.36584
28,413045,1112,1627, ,W,35TH,PL, ,90018,1/16/18,1/23/18,2/13/18,N,1,120B193   985,GARCV,South Los Angeles,,5,34.02383,-118.30683
29,413056,2123,4420, ,N,RICHARD,DR, ,90032,1/16/18,1/18/18,2/13/18,N,1,147A237   225,GARCV,East Los Angeles,,2,34.09680,-118.16488
30,413072,1112,2642, ,S,VAN BUREN,PL, ,90007,1/16/18,1/25/18,2/13/18,Y,1,123B197  1148,GARCV,South Los Angeles,803136,7,34.03131,-118.29685
31,413091,3104,10646, ,N,WOODWARD,AVE, ,91040,1/16/18,1/17/18,2/13/18,N,1,207A193   205,GARCV,North Valley,,1,34.26278,-118.30690
32,413172,1102,12229, ,W,CULVER,BLVD, ,90066,1/17/18,1/18/18,2/14/18,N,1,108B157   707,GARCV,West Los Angeles,,1,33.99248,-118.42030
33,413190,1112,1253, ,W,MARTIN LUTHER KING,BLVD, ,90037,1/17/18,1/25/18,2/14/18,Y,1,114B197   163,GARCV,South Los Angeles,803137,6,34.01125,-118.29787
34,413119,3104,11028, ,N,MCVINE,AVE, ,91040,1/17/18,1/23/18,2/14/18,N,1,210B193   596,GARCV,North Valley,,4,34.26966,-118.31124
35,413160,2111,10744, ,W,TABOR,ST, ,90034,1/17/18,1/22/18,2/14/18,Y,1,120B161  1116,GARCV,West Los Angeles,802539,3,34.02247,-118.41167
36,413201,1141,1819, ,E,109TH,PL, ,90059,1/18/18,1/23/18,2/15/18,Y,1,088-5A215 264,GARCV,South Los Angeles,802914,3,33.93634,-118.24002
37,413260,1123,1526, ,W,66TH,ST, ,90047,1/18/18,1/20/18,2/15/18,N,1,102B193   259,GARCV,South Los Angeles,,2,33.97904,-118.30335
38,413204,1143,1046, ,N,KING,AVE, ,90744,1/18/18,1/19/18,2/15/18,Y,1,033B201   695,GARCV,Harbor,802368,1,33.78364,-118.27563
39,413311,3113,21912, ,W,CELES,ST, ,91364,1/19/18,1/22/18,2/16/18,Y,1,171B101  1076,GARCV,South Valley,802559,1,34.16170,-118.60504
40,413317,1142,926, ,W,CRESTWOOD,ST, ,90731,1/19/18,1/22/18,2/16/18,N,1,021B197   942,GARCV,Harbor,,1,33.74933,-118.29743
41,413295,3121,13865, ,W,DAVENTRY,ST, ,91331,1/19/18,1/25/18,2/16/18,N,2,207B153   236,GARCV,North Valley,,4,34.26617,-118.43491
42,413313,3102,8964, ,N,GULLO,AVE, ,91331,1/19/18,1/19/18,2/16/18,Y,1,195B157   333,GARCV,North Valley,802572,0,34.23275,-118.43119
43,413323,1142,2231, ,S,MESA,ST, ,90731,1/19/18,1/22/18,2/16/18,Y,1,009B201    27,GARCV,Harbor,802908,1,33.72369,-118.28590
44,413358,3104,9000, ,W,MULBERRY,DR, ,91040,1/19/18,1/23/18,2/16/18,Y,1,207B185   315,GARCV,North Valley,802833,2,34.26367,-118.32775
45,413339,2122,4545, ,W,STANTON,DR, ,90065,1/19/18,1/22/18,2/16/18,Y,1,160-5A219  87,GARCV,East Los Angeles,802399,1,34.13524,-118.22685
46,413366,3131,18620, ,W,PRAIRIE,ST, ,91324,1/20/18,1/23/18,2/16/18,N,1,198B121   503,GARCV,North Valley,,1,34.23896,-118.53899
47,413486,1112,4227, ,W,59TH,ST, ,90043,1/23/18,1/25/18,2/20/18,Y,1,105B181   161,GARCV,South Los Angeles,803134,2,33.98720,-118.34861
48,413515,3113,18821, ,W,COVELLO,ST, ,91335,1/23/18,1/24/18,2/20/18,N,1,186B121   262,GARCV,South Valley,,1,34.20749,-118.54328
49,413519,1141,14726, ,S,ESTRELLA,AVE, ,90248,1/23/18,2/1/18,2/20/18,Y,1,075B201   213,GARCV,Harbor,804169,7,33.89803,-118.28559
50,413518,1141,14824, ,S,ESTRELLA,AVE, ,90248,1/23/18,2/1/18,2/20/18,Y,1,072B201    18,GARCV,Harbor,804170,7,33.89718,-118.28559
51,413501,2131,3551, ,N,MONTEREY,ST, ,90065,1/23/18,1/29/18,2/20/18,N,1,145-5A221 132,GARCV,East Los Angeles,,4,34.09371,-118.21956
52,413533,3113,7338, ,N,BAIRD,AVE, ,91335,1/24/18,1/24/18,2/21/18,Y,1,186B125   755,GARCV,South Valley,802978,0,34.20410,-118.53721
53,413579,3123,14076, ,W,HERRON,ST, ,91342,1/24/18,1/25/18,2/21/18,Y,1,222B153   618,GARCV,North Valley,803117,1,34.30304,-118.43997
54,413592,2112,2251, ,S,PROSSER,AVE, ,90064,1/24/18,1/30/18,2/21/18,N,1,129B157  1198,GARCV,West Los Angeles,,4,34.04656,-118.42343
55,413578,3121,12901, ,W,SUNBURST,ST, ,91331,1/24/18,1/25/18,2/21/18,Y,1,204B161   735,GARCV,North Valley,804572,1,34.25240,-118.41407
56,413578,3121,12901, ,W,SUNBURST,ST, ,91331,1/24/18,1/25/18,2/21/18,Y,1,204B161   735,GARCV,North Valley,804358,1,34.25240,-118.41407
57,413661,1131,4216, ,W,1ST,ST, ,90004,1/25/18,1/31/18,1/30/18,Y,1,138B193   948,GARCV,Central,803630,4,34.07360,-118.30363
58,413621,3111,20102, ,W,BALTAR,ST, ,91306,1/25/18,1/29/18,2/22/18,N,1,189B113   368,GARCV,South Valley,,2,34.21636,-118.57138
59,413665,2142,3612, ,W,BOYCE,AVE, ,90039,1/25/18,2/7/18,2/22/18,Y,1,153B209    49,GARCV,East Los Angeles,804582,9,34.11956,-118.26006
60,413664,1142,2106, ,S,CABRILLO,AVE, ,90731,1/25/18,1/29/18,2/22/18,Y,1,012B197  1321,GARCV,Harbor,803352,2,33.72496,-118.29445
61,413651,3111,20938, ,W,STRATHERN,ST, ,91304,1/25/18,1/31/18,1/30/18,N,2,189B109   378,GARCV,South Valley,,4,34.21584,-118.58995
62,413709,2101,2145, ,N,GRIFFITH PARK,BLVD, ,90039,1/26/18,1/29/18,2/26/18,Y,1,148-5A205 408,GARCV,East Los Angeles,803421,1,34.09969,-118.27279
63,413761,3113,18641, ,W,SATICOY,ST, ,91335,1/27/18,1/30/18,2/26/18,Y,1,186B121    97,GARCV,South Valley,803973,1,34.20853,-118.53964
