   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
1,364697,3121,12526, ,W,OSBORNE,ST, ,91331,1/1/16,1/11/16,2/1/16,N,1,204B161   258,GARCV,North Valley,,6,34.25628,-118.40635
2,364694,3102,14201, ,W,REMINGTON,ST, ,91331,1/1/16,1/9/16,2/1/16,Y,1,198B153   191,GARCV,North Valley,708052,6,34.24198,-118.44248
3,364700,1102,6404, ,W,80TH,PL, ,90045,1/2/16,1/7/16,2/1/16,Y,1,099B165   688,GARCV,West Los Angeles,708576,3,33.96613,-118.40001
4,364761,1122,1020, ,W,51ST,ST, ,90037,1/4/16,1/7/16,2/2/16,Y,1,111B197  1343,GARCV,South Los Angeles,707931,3,33.99675,-118.29240
5,364735,1124,838, ,E,75TH,ST, ,90001,1/4/16,1/8/16,2/2/16,Y,1,102B209   342,GARCV,South Los Angeles,707740,4,33.97198,-118.25937
6,364749,2112,2171, ,N,BASIL,LANE, ,90077,1/4/16,1/5/16,2/2/16,N,1,150B153   326,GARCV,West Los Angeles,,1,34.10935,-118.44441
7,364778,3123,13162, ,N,BORDEN,AVE, ,91342,1/4/16,1/12/16,1/7/16,Y,1,225B153   449,GARCV,North Valley,708143,6,34.30942,-118.44547
8,364852,3102,8401, ,N,LEHIGH,AVE, ,91352,1/5/16,1/9/16,2/3/16,Y,1,192B173   385,GARCV,North Valley,708057,4,34.22300,-118.36692
9,364819,3102,8787, ,N,NORRIS,AVE, ,91352,1/5/16,1/9/16,2/3/16,Y,1,195B173   456,GARCV,North Valley,708056,4,34.22860,-118.37157
10,364902,1124,903, ,E,92ND,ST, ,90002,1/6/16,1/12/16,2/4/16,Y,1,094-5A209 149,GARCV,South Los Angeles,708063,4,33.95305,-118.25839
