   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
1,412301,2121,421, ,S,COLYTON,ST, ,90013,1/2/18,1/9/18,1/30/18,N,2,127-5A215 301,ILUSE,Central,,5,34.04274,-118.23653
2,412290,2142,1209, ,N,MYRA,AVE, ,90029,1/2/18,1/17/18,1/30/18,Y,2,147A201   271,ILUSE,East Los Angeles,801920,11,34.09531,-118.28112
3,412295,1101,671, ,E,ROSE,AVE, ,90291,1/2/18,1/11/18,1/30/18,Y,2,111B145   752,ILUSE,West Los Angeles,807554,7,34.00030,-118.47023
4,412295,1101,671, ,E,ROSE,AVE, ,90291,1/2/18,1/11/18,1/30/18,Y,2,111B145   752,ILUSE,West Los Angeles,801410,7,34.00030,-118.47023
5,412329,2122,6183, ,E,ROY,ST, ,90042,1/2/18,1/3/18,1/30/18,Y,2,156A231    56,ILUSE,East Los Angeles,800476,1,34.12318,-118.18366
6,412273,1121,6101, ,S,SAN PEDRO,ST, ,90003,1/2/18,1/8/18,1/30/18,Y,2,105B205   638,ILUSE,South Los Angeles,801034,4,33.98413,-118.26973
7,412275,3113,5408, ,N,VELOZ,AVE, ,91356,1/2/18,1/3/18,1/30/18,N,2,171B121    32,ILUSE,South Valley,,1,34.16869,-118.53987
8,412330,1112,3601, ,S,WESTERN,AVE, ,90018,1/2/18,1/8/18,1/30/18,Y,2,120B193  1208,ILUSE,South Los Angeles,801054,4,34.02264,-118.30905
9,412331,1112,3611, ,S,WESTERN,AVE, ,90018,1/2/18,1/12/18,1/30/18,Y,2,120B193  1305,ILUSE,South Los Angeles,801442,8,34.02249,-118.30905
10,412332,1112,3672, ,S,WESTERN,AVE, ,90018,1/2/18,1/8/18,1/30/18,N,2,120B193  1553,ILUSE,South Los Angeles,,4,34.02141,-118.30873
11,412333,1112,3717, ,S,WESTERN,AVE, ,90018,1/2/18,1/8/18,1/30/18,Y,2,117B193   146,ILUSE,South Los Angeles,801055,4,34.02056,-118.30905
12,412335,1112,3717, ,S,WESTERN,AVE, ,90018,1/2/18,1/10/18,1/30/18,N,2,117B193   146,ILUSE,South Los Angeles,,6,34.02056,-118.30905
13,412334,1112,3729, ,S,WESTERN,AVE, ,90018,1/2/18,1/8/18,1/30/18,Y,2,117B193  1764,ILUSE,South Los Angeles,801056,4,34.02000,-118.30913
14,412398,1123,6571, ,S,NORMANDIE,AVE, ,90047,1/3/18,1/11/18,1/31/18,N,2,102B193   237,ILUSE,South Los Angeles,,6,33.97924,-118.30050
15,412391,3111,6670, ,N,RESEDA,BLVD, ,91335,1/3/18,1/10/18,1/31/18,N,2,180B125   221,ILUSE,South Valley,,5,34.19203,-118.53580
16,412384,3102,10080, ,N,VENA,AVE, ,91331,1/3/18,1/19/18,1/31/18,N,2,204B153   708,ILUSE,North Valley,,12,34.25360,-118.43373
17,412352,2133,1521, ,S,VERMONT,AVE, ,90006,1/3/18,2/7/18,1/31/18,Y,2,126B197   141,ILUSE,South Los Angeles,804584,25,34.04458,-118.29180
18,412414,1122,4162, ,S,VERMONT,AVE, ,90037,1/3/18,1/8/18,1/31/18,Y,2,114B197   652,ILUSE,South Los Angeles,800856,3,34.00787,-118.29138
19,412421,1122,4224, ,S,VERMONT,AVE, ,90037,1/3/18,1/8/18,1/31/18,Y,2,114B197   883,ILUSE,South Los Angeles,800857,3,34.00660,-118.29136
20,412408,1121,5413, ,S,VERMONT,AVE, ,90037,1/3/18,1/9/18,1/31/18,N,2,108B197   649,ILUSE,South Los Angeles,,4,33.99279,-118.29166
21,412400,1121,5966, ,S,VERMONT,AVE, ,90044,1/3/18,1/9/18,1/31/18,N,2,105B197   346,ILUSE,South Los Angeles,,4,33.98596,-118.29131
22,412407,1121,6021, ,S,VERMONT,AVE, ,90044,1/3/18,1/9/18,1/31/18,Y,2,105B197   514,ILUSE,South Los Angeles,801393,4,33.98523,-118.29164
23,412406,1121,6059, ,S,VERMONT,AVE, ,90044,1/3/18,1/9/18,1/31/18,N,2,105B197   616,ILUSE,South Los Angeles,,4,33.98469,-118.29172
24,412405,1123,6430, ,S,VERMONT,AVE, ,90044,1/3/18,1/4/18,1/31/18,N,2,105B197  1549,ILUSE,South Los Angeles,,1,33.98024,-118.29132
25,412404,1123,6613, ,S,VERMONT,AVE, ,90044,1/3/18,1/11/18,1/31/18,N,2,102B197   276,ILUSE,South Los Angeles,,6,33.97874,-118.29198
26,412411,1112,2726, ,S,WESTERN,AVE, ,90018,1/3/18,1/8/18,1/31/18,N,2,123B193  1040,ILUSE,South Los Angeles,,3,34.03006,-118.30877
27,412396,1112,3941, ,S,WESTERN,AVE, ,90062,1/3/18,1/8/18,1/31/18,Y,2,117B193  1646,ILUSE,South Los Angeles,801058,3,34.01335,-118.30907
28,412412,1112,4501, ,S,WESTERN,AVE, ,90062,1/3/18,1/8/18,1/31/18,Y,2,111B193   284,ILUSE,South Los Angeles,801057,3,34.00261,-118.30907
29,412416,1112,4615, ,S,WESTERN,AVE, ,90062,1/3/18,1/8/18,1/31/18,N,2,111B193   527,ILUSE,South Los Angeles,,3,34.00145,-118.30922
30,412422,1112,4823, ,S,WESTERN,AVE, ,90062,1/3/18,1/8/18,1/31/18,Y,2,111B193   885,ILUSE,South Los Angeles,801059,3,33.99942,-118.30930
31,412413,1123,8930, ,S,WESTERN,AVE, ,90047,1/3/18,1/11/18,1/31/18,N,2,096A193   273,ILUSE,South Los Angeles,,6,33.95539,-118.30883
32,412457,1132,3631, ,S,7TH,AVE, ,90018,1/4/18,1/8/18,2/1/18,Y,2,120B189  1409,ILUSE,South Los Angeles,800863,2,34.02194,-118.32490
33,412456,3102,9847, ,N,GLENOAKS,BLVD, ,91352,1/4/18,1/5/18,2/1/18,N,2,201B169    63,ILUSE,North Valley,,1,34.24878,-118.38676
34,412458,2103,1041, ,N,MANSFIELD,AVE, ,90038,1/4/18,1/10/18,2/1/18,N,2,144B181   515,ILUSE,Central,,4,34.09016,-118.34057
35,412461,2103,1041, ,N,ORANGE,DR, ,90038,1/4/18,1/10/18,2/1/18,N,2,144B181   517,ILUSE,Central,,4,34.09007,-118.34174
36,412474,2123,4225, ,N,PORTOLA,AVE, ,90032,1/4/18,1/5/18,2/1/18,N,2,145-5A235  25,ILUSE,East Los Angeles,,1,34.09485,-118.17060
37,412500,1123,7632, ,S,WESTERN,AVE, ,90047,1/4/18,1/19/18,2/1/18,N,2,099B193   271,ILUSE,South Los Angeles,,11,33.96995,-118.30879
38,412499,1123,7860, ,S,WESTERN,AVE, ,90047,1/4/18,1/19/18,2/1/18,N,2,099B193   703,ILUSE,South Los Angeles,,11,33.96786,-118.30880
39,412495,1123,8111, ,S,WESTERN,AVE, ,90047,1/4/18,1/19/18,2/1/18,N,2,099B193  1209,ILUSE,South Los Angeles,,11,33.96514,-118.30917
40,412497,1123,8115, ,S,WESTERN,AVE, ,90047,1/4/18,1/19/18,2/1/18,N,2,099B193  1283,ILUSE,South Los Angeles,,11,33.96500,-118.30917
41,412494,1123,8924, ,S,WESTERN,AVE, ,90047,1/4/18,1/19/18,2/1/18,N,2,096A193   244,ILUSE,South Los Angeles,,11,33.95558,-118.30883
42,412563,1122,1370, ,E,42ND,ST, ,90011,1/5/18,1/8/18,2/2/18,N,2,114A211   179,ILUSE,South Los Angeles,,1,34.00713,-118.24975
43,412537,2131,3314, ,N,DIVISION,ST, ,90065,1/5/18,2/22/18,2/2/18,Y,2,150A217   251,ILUSE,East Los Angeles,806073,34,34.10474,-118.23053
44,412506,2131,5414, ,N,FIGUEROA,ST, ,90042,1/5/18,4/9/18,2/2/18,Y,2,151-5A227 369,ILUSE,East Los Angeles,811743,66,34.10746,-118.19673
45,412540,3123,13159, ,N,GLENOAKS,BLVD, ,91342,1/5/18,1/11/18,2/2/18,Y,2,222B149    17,ILUSE,North Valley,801371,4,34.30926,-118.45209
46,412526,1104,3401, ,S,GREENWOOD,AVE, ,90066,1/5/18,1/16/18,2/2/18,N,2,114B149   580,ILUSE,West Los Angeles,,7,34.00841,-118.44844
47,412535,1131,169, ,S,HARVARD,BLVD, ,90004,1/5/18,1/18/18,2/2/18,N,2,138B193  1258,ILUSE,Central,,9,34.07178,-118.30429
48,412520,2122,1548, ,N,HAZELWOOD,AVE, ,90041,1/5/18,1/9/18,2/2/18,Y,2,157-5A221 277,ILUSE,East Los Angeles,801007,2,34.12441,-118.21443
49,412559,1143,1223, ,N,HYATT,AVE, ,90744,1/5/18,1/8/18,2/2/18,Y,2,033B209   315,ILUSE,Harbor,818458,1,33.78752,-118.25495
50,412559,1143,1223, ,N,HYATT,AVE, ,90744,1/5/18,1/8/18,2/2/18,Y,2,033B209   315,ILUSE,Harbor,800841,1,33.78752,-118.25495
51,412541,2103,644, ,S,IRVING,BLVD, ,90010,1/5/18,1/9/18,2/2/18,N,2,132B189    41,ILUSE,Central,,2,34.06197,-118.31833
52,412531,2103,644, ,S,IRVING,BLVD, ,90010,1/5/18,1/10/18,2/2/18,N,2,132B189    41,ILUSE,Central,,3,34.06197,-118.31833
53,412550,2101,1470, ,N,KINGS,ROAD, ,90069,1/5/18,1/8/18,2/2/18,N,2,147B173   379,ILUSE,Central,,1,34.09752,-118.37326
54,412555,1123,10106, ,S,MAIN,ST, ,90003,1/5/18,1/6/18,2/2/18,N,2,091-5A205 267,ILUSE,South Los Angeles,,1,33.94443,-118.27371
55,412510,2142,263, ,N,MOUNTAIN VIEW,AVE, ,90026,1/5/18,1/16/18,2/2/18,N,2,136-5A205 158,ILUSE,Central,,7,34.06884,-118.26797
56,412515,2133,2632, ,N,PASADENA,AVE, ,90031,1/5/18,1/8/18,2/2/18,Y,2,139-5A221 110,ILUSE,East Los Angeles,804059,1,34.07739,-118.21524
57,412514,2133,2500, ,N,SICHEL,ST, ,90031,1/5/18,2/1/18,2/2/18,Y,2,139-5A223 293,ILUSE,East Los Angeles,804108,19,34.07573,-118.21299
58,412567,2143,1122, ,N,WESTERN,AVE, ,90029,1/5/18,1/8/18,2/2/18,N,2,144B193   616,ILUSE,Central,,1,34.09147,-118.30900
59,412508,1123,8105, ,S,WESTERN,AVE, ,90047,1/5/18,1/19/18,2/2/18,N,2,099B193  1200,ILUSE,South Los Angeles,,10,33.96528,-118.30917
60,412574,3102,10086, ,N,VENA,AVE, ,91331,1/6/18,1/12/18,2/2/18,Y,2,204B153   697,ILUSE,North Valley,801607,4,34.25377,-118.43392
61,412568,2143,1063, ,N,WILTON,PL, ,90038,1/6/18,1/9/18,2/2/18,Y,2,144B189   753,ILUSE,Central,801241,1,34.08996,-118.31369
62,412569,2143,1063, ,N,WILTON,PL, ,90038,1/6/18,1/9/18,2/2/18,N,2,144B189   753,ILUSE,Central,,1,34.08996,-118.31369
63,412607,1133,1815, ,W,JEFFERSON,BLVD, ,90018,1/7/18,1/10/18,2/2/18,N,2,120B193   646,ILUSE,South Los Angeles,,2,34.02567,-118.30951
64,412629,1142,1605, ,S,CENTRE,ST, ,90731,1/8/18,1/8/18,2/5/18,Y,2,012B201   424,ILUSE,Harbor,801464,0,33.72949,-118.28371
65,412626,2103,5001, ,W,HOLLYWOOD,BLVD, ,90027,1/8/18,1/19/18,2/5/18,Y,2,147B197   224,ILUSE,Central,802835,9,34.10192,-118.29852
66,412664,1112,3646, ,W,SLAUSON,AVE, ,90043,1/8/18,1/11/18,2/5/18,Y,2,108B185   948,ILUSE,South Los Angeles,801447,3,33.98881,-118.33678
67,412709,1101,310, ,N,BELLINO,DR, ,90272,1/9/18,1/12/18,2/6/18,N,2,129B117   119,ILUSE,West Los Angeles,,3,34.04566,-118.56053
68,412733,1101,310, ,N,BELLINO,DR, ,90272,1/9/18,1/10/18,2/6/18,Y,2,129B117   119,ILUSE,West Los Angeles,801971,1,34.04566,-118.56053
69,412708,2111,5470, ,N,FORBES,AVE, ,91436,1/9/18,1/10/18,2/6/18,Y,2,174B133   695,ILUSE,South Valley,801100,1,34.17081,-118.49900
70,412728,3121,13737, ,W,HOYT,ST, ,91331,1/9/18,1/11/18,2/6/18,Y,2,204B153   306,ILUSE,North Valley,801901,2,34.25738,-118.43246
71,412734,2103,6300, ,W,IVARENE,AVE, ,90068,1/9/18,1/11/18,2/6/18,N,2,151-5A187 136,ILUSE,Central,,2,34.11046,-118.32702
72,412701,2133,2335, ,S,PORTLAND,ST, ,90007,1/9/18,1/10/18,2/6/18,Y,2,123A201    13,ILUSE,South Los Angeles,801476,1,34.03303,-118.28173
73,412722,3113,7021, ,N,RESEDA,BLVD, ,91335,1/9/18,1/11/18,2/6/18,Y,2,183B125   504,ILUSE,South Valley,801391,2,34.19828,-118.53625
74,412700,1104,11674, ,W,SANTA MONICA,BLVD, ,90025,1/9/18,7/11/18,2/6/18,Y,2,126B149   285,ILUSE,West Los Angeles,820376,131,34.04379,-118.45551
75,412739,1132,3055, ,S,VINEYARD,AVE, ,90016,1/9/18,1/10/18,2/6/18,Y,2,120B181   536,ILUSE,South Los Angeles,801180,1,34.02669,-118.34802
76,412736,2101,2000, ,N,WATTLES,DR, ,90046,1/9/18,1/10/18,2/6/18,N,2,150B177   181,ILUSE,Central,,1,34.10790,-118.35611
77,412770,2131,701, ,N,CYPRESS,AVE, ,90065,1/10/18,2/22/18,2/7/18,N,2,145-5A219 433,ILUSE,East Los Angeles,,31,34.09108,-118.22330
78,412778,1141,9548, ,S,DEFIANCE,AVE, ,90002,1/10/18,1/10/18,2/7/18,N,2,093A213   215,ILUSE,South Los Angeles,,0,33.94927,-118.24517
79,412766,3121,13152, ,W,DEL SUR,ST, ,91340,1/10/18,1/10/18,2/7/18,N,2,216B161   594,ILUSE,North Valley,,0,34.28518,-118.41919
80,412800,2111,10713, ,W,PALMS,BLVD, ,90034,1/10/18,1/17/18,2/7/18,Y,2,120B161   742,ILUSE,West Los Angeles,801975,5,34.02458,-118.41212
81,412796,2101,14827, ,W,VENTURA,BLVD, ,91403,1/10/18,1/11/18,2/7/18,N,2,168A149   188,ILUSE,South Valley,,1,34.15232,-118.45617
82,412773,1123,10030, ,S,WESTERN,AVE, ,90047,1/10/18,1/19/18,2/7/18,Y,2,091-5A193 133,ILUSE,South Los Angeles,802392,7,33.94447,-118.30881
83,412838,1122,1242, ,W,50TH,ST, ,90037,1/11/18,1/16/18,2/8/18,Y,2,111B197  1135,ILUSE,South Los Angeles,802142,3,33.99767,-118.29745
84,412826,1123,1110, ,W,65TH,ST, ,90044,1/11/18,1/19/18,2/8/18,N,2,105B197  1527,ILUSE,South Los Angeles,,6,33.98041,-118.29403
85,412859,1142,529, ,W,9TH,ST, ,90731,1/11/18,1/16/18,2/8/18,N,2,015B197   898,ILUSE,Harbor,,3,33.73593,-118.28868
86,412870,3111,23034, ,W,DOLOROSA,ST, ,91367,1/11/18,1/22/18,2/8/18,Y,2,174B097   807,ILUSE,South Valley,802544,7,34.16992,-118.62897
87,412856,3104,7488, ,W,FOOTHILL,BLVD, ,91042,1/11/18,1/12/18,2/8/18,Y,2,204A197   474,ILUSE,North Valley,801675,1,34.25273,-118.29561
88,412839,3104,8940, ,W,LA TUNA CANYON,ROAD, ,91352,1/11/18,2/1/18,2/8/18,N,2,198B185    96,ILUSE,North Valley,,15,34.23603,-118.32830
89,412871,1102,1731, ,S,OCEAN FRONT,WALK, ,90291,1/11/18,1/24/18,2/8/18,Y,3,106-5A143 104,ILUSE,West Los Angeles,802933,9,33.98599,-118.47280
90,413137,2121,323, ,N,ST LOUIS,ST, ,90033,1/11/18,1/17/18,2/14/18,Y,2,129A223   243,ILUSE,East Los Angeles,801851,4,34.04743,-118.21238
91,412822,3201,7400, ,N,VAN NUYS,BLVD, ,91405,1/11/18,1/13/18,2/8/18,Y,2,186B149   448,ILUSE,South Valley,801559,2,34.20519,-118.44847
92,412951,2122,1871, ,W,COLORADO,BLVD, ,90041,1/12/18,1/16/18,2/9/18,N,2,162A223    93,ILUSE,East Los Angeles,,2,34.13948,-118.20829
93,412904,3121,13353, ,W,GAGER,ST, ,91331,1/12/18,1/22/18,2/9/18,Y,2,204B157   237,ILUSE,North Valley,802808,6,34.25828,-118.42405
94,412932,3111,7131, ,N,OWENSMOUTH,AVE, ,91303,1/12/18,1/16/18,2/9/18,Y,1,183B105   277,ILUSE,South Valley,801566,2,34.20005,-118.60173
95,412972,3121,13737, ,W,HOYT,ST, ,91331,1/13/18,1/22/18,2/9/18,N,2,204B153   306,ILUSE,North Valley,,5,34.25738,-118.43246
96,412984,1133,1808, ,S,STEARNS,DR, ,90035,1/14/18,1/19/18,2/9/18,Y,2,126B173   310,ILUSE,South Los Angeles,802440,4,34.04364,-118.37344
97,413014,1123,1421, ,W,GAGE,AVE, ,90047,1/15/18,1/20/18,2/12/18,Y,2,105B193   895,ILUSE,South Los Angeles,802397,5,33.98249,-118.30102
98,413053,1141,618, ,W,124TH,ST, ,90044,1/16/18,1/22/18,2/13/18,N,2,081B201   121,ILUSE,Harbor,,4,33.91995,-118.28547
99,413066,1121,344, ,W,82ND,ST, ,90003,1/16/18,1/22/18,2/13/18,Y,2,099B201  1098,ILUSE,South Los Angeles,803099,4,33.96495,-118.27990
100,413101,2131,5604, ,N,FIGUEROA,ST, ,90042,1/16/18,1/22/18,2/13/18,N,2,151-5A229 346,ILUSE,East Los Angeles,,4,34.10899,-118.19366
101,413102,2131,5604, ,N,FIGUEROA,ST, ,90042,1/16/18,1/22/18,2/13/18,Y,2,151-5A229 346,ILUSE,East Los Angeles,802579,4,34.10899,-118.19366
102,413085,1102,2556, ,S,LINCOLN,BLVD, ,90291,1/16/18,1/24/18,2/13/18,N,2,108B149  1004,ILUSE,West Los Angeles,,6,33.99103,-118.44806
103,413077,2121,1171, ,S,MIRASOL,ST, ,90023,1/16/18,1/17/18,2/13/18,N,2,118-5A227  96,ILUSE,East Los Angeles,,1,34.01997,-118.19864
104,413162,2142,3409, ,N,FLETCHER,DR, ,90065,1/17/18,1/25/18,2/14/18,Y,2,154-5A215  57,ILUSE,East Los Angeles,803127,6,34.11899,-118.24018
105,413127,2111,815, ,N,LA CIENEGA,BLVD, ,90069,1/17/18,1/19/18,2/14/18,N,2,141B173   154,ILUSE,Central,,2,34.08582,-118.37662
106,413135,1121,6517, ,S,MCKINLEY,AVE, ,90001,1/17/18,1/25/18,2/14/18,Y,2,105B205  1306,ILUSE,South Los Angeles,803351,6,33.97982,-118.26159
107,413187,3131,19301, ,W,STARE,ST, ,91324,1/17/18,1/26/18,2/14/18,Y,2,204B117   493,ILUSE,North Valley,803616,7,34.25289,-118.55395
108,413217,1123,850, ,W,104TH,ST, ,90044,1/18/18,1/26/18,2/15/18,Y,2,090A199    69,ILUSE,South Los Angeles,803183,6,33.94221,-118.29119
109,413233,1122,1820, ,E,48TH,PL, ,90058,1/18/18,1/19/18,2/15/18,N,2,111A213    73,ILUSE,South Los Angeles,,1,33.99931,-118.24055
110,413275,2103,6861, ,W,IRIS,CIR, ,90068,1/18/18,1/19/18,2/15/18,Y,2,151-5A187 124,ILUSE,Central,802840,1,34.11049,-118.33266
111,413270,2101,12967, ,W,LA MAIDA,ST, ,91423,1/18/18,1/19/18,2/15/18,N,2,168B161   317,ILUSE,South Valley,,1,34.15869,-118.41611
112,413196,3101,17214, ,W,ROSCOE,BLVD, ,91406,1/18/18,1/22/18,2/15/18,N,2,192B133   284,ILUSE,South Valley,,2,34.22037,-118.50840
113,413247,2143,201, ,N,VERMONT,AVE, ,90004,1/18/18,1/19/18,2/15/18,N,2,138B197   624,ILUSE,Central,,1,34.07472,-118.29188
114,413357,2133,1639, ,W,11TH,PL, ,90015,1/19/18,2/7/18,2/16/18,Y,2,129A203   220,ILUSE,Central,802540,13,34.04761,-118.27667
115,413284,3101,7800, ,N,AIRPORT BUSINESS PAR,WAY, ,91406,1/19/18,1/22/18,2/16/18,Y,2,189B137   126,ILUSE,South Valley,802665,1,34.21232,-118.49487
116,413345,2131,1012, ,N,FARNAM,ST, ,90042,1/19/18,1/24/18,2/16/18,Y,2,154-5A223 229,ILUSE,East Los Angeles,802994,3,34.11762,-118.20898
117,413337,3123,13066, ,N,GLENOAKS,BLVD, ,91342,1/19/18,1/23/18,2/16/18,Y,2,222B149    80,ILUSE,North Valley,802823,2,34.30811,-118.44997
118,413276,3111,20352, ,W,LONDELIUS,ST, ,91306,1/19/18,1/24/18,2/16/18,Y,2,195B113   484,ILUSE,North Valley,803187,3,34.22893,-118.57735
119,413341,2121,255, ,N,MISSION,ROAD, ,90033,1/19/18,1/22/18,2/16/18,N,2,130-5A219 330,ILUSE,East Los Angeles,,1,34.05142,-118.22724
120,413388,1133,1833, ,S,LA CIENEGA,BLVD, ,90035,1/21/18,1/22/18,2/16/18,N,2,126B173   239,ILUSE,South Los Angeles,,0,34.04342,-118.37677
121,413455,1122,1236, ,E,45TH,ST, ,90011,1/22/18,1/23/18,2/19/18,N,2,112-5A211 156,ILUSE,South Los Angeles,,1,34.00276,-118.25334
122,413459,1143,716, ,W,ANAHEIM,ST, ,90744,1/22/18,1/23/18,2/19/18,Y,2,030B205   475,ILUSE,Harbor,802817,1,33.77937,-118.27077
123,413454,3103,13850, ,W,CALVERT,ST, ,91401,1/22/18,1/23/18,2/19/18,N,2,177B153   600,ILUSE,South Valley,,1,34.18202,-118.43536
124,413445,3103,6201, ,N,COSTELLO,AVE, ,91401,1/22/18,2/5/18,2/19/18,Y,2,177B153   393,ILUSE,South Valley,804474,10,34.18305,-118.43793
125,413437,3113,5141, ,N,ELVIRA,ROAD, ,91364,1/22/18,1/23/18,2/19/18,Y,2,171B105   775,ILUSE,South Valley,802907,1,34.16339,-118.60084
126,413505,1142,, , , , , ,,1/23/18,1/23/18,2/20/18,Y,2,006B193   293,ILUSE,Harbor,802837,0,33.71370,-118.31058
127,413497,3102,12244, ,W,BRANFORD,ST, ,91352,1/23/18,1/30/18,2/20/18,N,2,201B165    54,ILUSE,North Valley,,5,34.25065,-118.39969
128,413506,1104,3734, ,S,WASATCH,AVE, ,90066,1/23/18,1/30/18,2/20/18,Y,2,114B153  1292,ILUSE,West Los Angeles,803604,5,34.00480,-118.43675
