   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
1,364692,1102,2511, ,S,LINCOLN,BLVD, ,90291,1/1/16,1/5/16,2/1/16,N,2,108B149   842,ILUSE,West Los Angeles,,2,33.99194,-118.44930
2,364696,3123,12695, ,N,WOODCOCK,AVE, ,91342,1/1/16,1/4/16,2/1/16,Y,2,219B149    69,ILUSE,North Valley,706982,1,34.30085,-118.44899
3,364710,3102,12261, ,W,ALLEGHENY,ST, ,91352,1/2/16,1/9/16,2/1/16,Y,2,195B165   274,ILUSE,North Valley,708053,5,34.23212,-118.40065
4,364707,2133,2226, ,N,JOHNSTON,ST, ,90031,1/2/16,1/2/16,2/1/16,N,2,138A223   330,ILUSE,East Los Angeles,,0,34.07091,-118.21018
5,364727,2141,236, ,N,CATALINA,ST, ,90004,1/3/16,1/12/16,2/1/16,N,2,138B197   464,ILUSE,Central,,6,34.07561,-118.29529
6,364814,3123,10101, ,N,BURNET,AVE, ,91345,1/4/16,1/4/16,2/3/16,N,2,204B145   770,ILUSE,North Valley,,0,34.25386,-118.46312
7,364801,1102,4468, ,S,CENTINELA,AVE, ,90066,1/4/16,6/23/16,2/2/16,N,2,108B157   578,ILUSE,West Los Angeles,,123,33.99311,-118.42330
8,364804,1102,4500, ,S,CENTINELA,AVE, ,90066,1/4/16,1/7/16,2/2/16,N,2,108B157   649,ILUSE,West Los Angeles,,3,33.99275,-118.42285
9,364803,1102,4500, ,S,CENTINELA,AVE, ,90066,1/4/16,6/23/16,2/2/16,Y,2,108B157   649,ILUSE,West Los Angeles,724530,123,33.99275,-118.42285
10,364806,1102,4512, ,S,CENTINELA,AVE, ,90066,1/4/16,1/27/16,2/2/16,N,2,108B157   677,ILUSE,West Los Angeles,,17,33.99262,-118.42259
11,364779,1111,7811, ,S,DENKER,AVE, ,90047,1/4/16,1/8/16,2/2/16,Y,2,099B193   511,ILUSE,South Los Angeles,707666,4,33.96875,-118.30480
12,364770,1133,1811, ,S,NORTON,AVE, ,90019,1/4/16,1/13/16,2/2/16,Y,2,126B185   889,ILUSE,South Los Angeles,708670,7,34.04045,-118.32716
13,364737,3113,21218, ,W,VENTURA,BLVD, ,91364,1/4/16,1/9/16,2/2/16,Y,2,171B105   157,ILUSE,South Valley,707796,5,34.16723,-118.59530
14,364748,3124,5718, ,N,VINELAND,AVE, ,91601,1/4/16,1/9/16,2/2/16,Y,2,174B173   553,ILUSE,South Valley,707986,5,34.17457,-118.37014
15,364732,1142,1046, ,N,WILMINGTON,BLVD, ,90744,1/4/16,1/7/16,2/2/16,N,2,033B201   687,ILUSE,Harbor,,3,33.78371,-118.27436
16,364872,1124,367, ,E,56TH,ST, ,90011,1/5/16,2/2/16,2/3/16,Y,2,108B205   719,ILUSE,South Los Angeles,710298,20,33.99167,-118.26784
17,364818,3121,13409, ,W,CORNELIUS,ST, ,91331,1/5/16,1/7/16,2/3/16,Y,2,213B157   518,ILUSE,North Valley,707610,2,34.27908,-118.42479
18,364830,1122,5731, ,S,DUARTE,ST, ,90058,1/5/16,1/11/16,2/3/16,Y,2,108B213   606,ILUSE,South Los Angeles,708170,4,33.99031,-118.24237
19,364829,1122,5735, ,S,DUARTE,ST, ,90058,1/5/16,1/5/16,2/3/16,N,NORM,108B213   621,ILUSE,South Los Angeles,,0,33.99020,-118.24237
20,364836,3123,11401, ,N,ILEX,AVE, ,91340,1/5/16,1/6/16,2/3/16,Y,2,213B153   210,ILUSE,North Valley,707167,1,34.27692,-118.43556
21,364840,3102,7950, ,N,LAUREL CANYON,BLVD, ,91605,1/5/16,1/9/16,2/3/16,Y,2,189B165   461,ILUSE,North Valley,708054,4,34.21528,-118.39631
22,364863,1124,6216, ,S,MAIN,ST, ,90003,1/5/16,2/3/16,2/3/16,Y,3,105B205   850,ILUSE,South Los Angeles,710559,21,33.98278,-118.27376
23,364816,2142,1954, ,N,REDESDALE,AVE, ,90039,1/5/16,1/6/16,2/3/16,N,2,145-5A207  29,ILUSE,East Los Angeles,,1,34.09443,-118.26668
24,364826,1122,4517, ,S,VERMONT,AVE, ,90037,1/5/16,1/28/16,2/3/16,Y,2,111B197   334,ILUSE,South Los Angeles,710035,17,34.00213,-118.29171
25,364913,1124,157, ,W,82ND,ST, ,90003,1/6/16,2/8/16,,N,2,099B201   995,ILUSE,South Los Angeles,,23,33.96517,-118.27585
26,364942,3114,10000, ,N,CANOGA,AVE, ,91311,1/6/16,1/11/16,2/4/16,N,2,204B105   792,ILUSE,North Valley,,3,34.25175,-118.59713
